CODE,RPOP
11010,41798
11020,37518
11030,69977
11040,88014
11050,115084
11060,105147
11070,110192
11080,123483
11090,76019
11100,77934
11110,130238
11120,129347
11130,93124
11140,123099
11150,109425
11160,180688
11170,114168
11180,74069
11190,127398
11200,124548
11210,197548
11220,107231
11230,144114
11240,193400
11250,127584
